iter	Logloss
0	0.6268522824
1	0.5693208299
2	0.5211094334
3	0.4804052389
4	0.4454676379
5	0.4166997194
6	0.3908050174
7	0.3694319702
8	0.3505211725
9	0.3333111108
10	0.3191052296
11	0.3081082162
12	0.2967973625
13	0.2872616516
14	0.2769047769
15	0.2689525193
16	0.2623636579
17	0.256383863
18	0.2522455102
19	0.2477874939
20	0.2418414926
21	0.2378174289
22	0.2342190929
23	0.2301891045
24	0.226333426
25	0.2233972893
26	0.2207927463
27	0.2181002165
28	0.215731395
29	0.2137071479
30	0.2120083387
31	0.21002022
32	0.2078048187
33	0.2058852985
34	0.2043558376
35	0.2031317123
36	0.2012082147
37	0.1996088472
38	0.1978484314
39	0.1965152612
40	0.1952610826
41	0.1941897801
42	0.1933192556
43	0.1921503713
44	0.1910743008
45	0.1900639085
46	0.1891782967
47	0.188269254
48	0.1874211201
49	0.1866332299
50	0.1857916214
51	0.1847651699
52	0.1838119191
53	0.183185631
54	0.1825225014
55	0.1817249132
56	0.1812178289
57	0.180589908
58	0.1799191896
59	0.1792514058
60	0.1784595045
61	0.1775629315
62	0.1769425588
63	0.1762391247
64	0.1753865737
65	0.1743641895
66	0.1735640581
67	0.1726968783
68	0.1720033659
69	0.1714991909
70	0.1711269067
71	0.1707419323
72	0.1700702861
73	0.1696404692
74	0.169142022
75	0.1684571428
76	0.1681545323
77	0.1673779111
78	0.1670135657
79	0.1664456252
80	0.1658082735
81	0.1652697002
82	0.1648990461
83	0.1643904721
84	0.1639814572
85	0.1635622876
86	0.1632362793
87	0.162830767
88	0.1625003805
89	0.1620876203
90	0.1617865972
91	0.1614427425
92	0.1610053034
93	0.1604947285
94	0.1601084955
95	0.1598809808
96	0.1594505891
97	0.1591979591
98	0.1588272677
99	0.158430192
100	0.1579689737
101	0.1574973236
102	0.1572078403
103	0.1567992407
104	0.1564737373
105	0.1561988218
106	0.1558728452
107	0.1554445773
108	0.1550981604
109	0.1548669543
110	0.1545332632
111	0.1540101448
112	0.1536402664
113	0.1531144167
114	0.1527942823
115	0.1525753301
116	0.1519829294
117	0.1516723439
118	0.151307246
119	0.1511158397
120	0.150655813
121	0.1504831602
122	0.1502657591
123	0.1500693039
124	0.1496052583
125	0.1492871008
126	0.1490808934
127	0.1487672387
128	0.1485715141
129	0.1482725256
130	0.1481287422
131	0.1478254298
132	0.147537397
133	0.1471914234
134	0.1469661757
135	0.1466384817
136	0.1465151821
137	0.1461242363
138	0.145758433
139	0.1455539629
140	0.1451742501
141	0.1450038818
142	0.1448459586
143	0.1446203847
144	0.1443203799
145	0.1439603653
146	0.1438007374
147	0.1434416115
148	0.1431063888
149	0.1426919973
150	0.1425135022
151	0.1423222022
152	0.1420723315
153	0.1417860964
154	0.1415383699
155	0.1412175995
156	0.1410545123
157	0.1408611401
158	0.1405858236
159	0.1404226917
160	0.1403308853
161	0.1401119764
162	0.1399655558
163	0.1395431835
164	0.1394012848
165	0.1390646063
166	0.1388429465
167	0.1385713281
168	0.138310234
169	0.1380658093
170	0.137840016
171	0.1375672404
172	0.1373576644
173	0.1370426993
174	0.1368127076
175	0.1365777352
176	0.1362710134
177	0.1360953289
178	0.1357796876
179	0.1355024482
180	0.1352623268
181	0.1350531521
182	0.134799961
183	0.1345463154
184	0.1344486308
185	0.1341618007
186	0.1339848972
187	0.1337232933
188	0.133384669
189	0.1331086908
190	0.1329029874
191	0.1327923339
192	0.1325103665
193	0.1323346647
194	0.1320539976
195	0.1318039618
196	0.1315862063
197	0.1313290448
198	0.1310391406
199	0.1308281201
200	0.1305128141
201	0.1303223284
202	0.1300631866
203	0.1298174328
204	0.1296708061
205	0.1295701365
206	0.1292995394
207	0.1290717403
208	0.1287638124
209	0.1285121885
210	0.1282875528
211	0.1281116017
212	0.1278394524
213	0.1275727831
214	0.12736387
215	0.1271632958
216	0.1269606461
217	0.126797794
218	0.1264831961
219	0.1264111843
220	0.1262770616
221	0.1260857759
222	0.1258979064
223	0.1256900611
224	0.1254633146
225	0.1252382433
226	0.1249809338
227	0.1247511597
228	0.1245686788
229	0.124440579
230	0.12429948
231	0.1241291059
232	0.1237994167
233	0.1236551971
234	0.1234644664
235	0.1232091176
236	0.123130843
237	0.122983652
238	0.1227930791
239	0.1225912564
240	0.1224571445
241	0.1222470359
242	0.1220579111
243	0.1218986432
244	0.1216534572
245	0.1213961868
246	0.1211594479
247	0.1209618919
248	0.1207868161
249	0.1206374364
250	0.1204919857
251	0.1203556256
252	0.1201464692
253	0.1199922229
254	0.1197970219
255	0.1195904097
256	0.1194413733
257	0.119261737
258	0.119128194
259	0.1190016822
260	0.1189064189
261	0.1187112221
262	0.1185395863
263	0.1183843605
264	0.1182585615
265	0.118082041
266	0.1179445033
267	0.1178657078
268	0.1177463054
269	0.1175491288
270	0.1174925875
271	0.1172011538
272	0.1170307124
273	0.1168848673
274	0.1166848494
275	0.1164866951
276	0.1163480252
277	0.1162604751
278	0.1161187982
279	0.1158389382
280	0.1156455399
281	0.1154700034
282	0.1152475857
283	0.1150798305
284	0.1148856935
285	0.1147831056
286	0.1146813491
287	0.1145477224
288	0.1143142103
289	0.1141861225
290	0.1140065503
291	0.1138530795
292	0.1136991246
293	0.1135640098
294	0.113353926
295	0.1132292142
296	0.1130449245
297	0.112948785
298	0.1128502416
299	0.1127250721
300	0.1125230661
301	0.1124416059
302	0.1122761665
303	0.1121396105
304	0.1120024606
305	0.1118428052
306	0.1117901022
307	0.1115522587
308	0.1113854587
309	0.1112792803
310	0.1110902075
311	0.1110012237
312	0.1108925186
313	0.1107922437
314	0.1106883879
315	0.1105608607
316	0.1104894571
317	0.1104083741
318	0.1102550731
319	0.1101680028
320	0.1099755689
321	0.1098129847
322	0.1096507841
323	0.1095184937
324	0.1094606791
325	0.1092688733
326	0.1090808783
327	0.108920096
328	0.1088198131
329	0.1086806457
330	0.1085901753
331	0.1084622531
332	0.1084089733
333	0.1082291818
334	0.1081229606
335	0.1080893159
336	0.107868059
337	0.1077434324
338	0.1076285026
339	0.1075514128
340	0.1074396712
341	0.1073627591
342	0.1071941136
343	0.1070295917
344	0.1069354772
345	0.1068028097
346	0.1066793994
347	0.1066441665
348	0.1064743088
349	0.1063823314
350	0.1062362172
351	0.1061616362
352	0.1060043596
353	0.1058391608
354	0.1056794819
355	0.1055467764
356	0.1054402832
357	0.1053594392
358	0.1053176113
359	0.1051356443
360	0.1050023624
361	0.1048430914
362	0.1046816563
363	0.1045427028
364	0.1044324354
365	0.104286978
366	0.1041752947
367	0.1040129328
368	0.1039037317
369	0.1037484601
370	0.1037029698
371	0.103502073
372	0.1033917141
373	0.10325453
374	0.1030712944
