iter	Passed	Remaining
0	75	75910
1	154	76906
2	233	77622
3	306	76274
4	386	76891
5	458	75904
6	530	75317
7	600	74465
8	672	74101
9	741	73402
10	811	73002
11	883	72722
12	953	72387
13	1031	72654
14	1103	72485
15	1181	72644
16	1303	75353
17	1371	74798
18	1441	74428
19	1509	73988
20	1579	73643
21	1649	73348
22	1718	73018
23	1787	72677
24	1858	72463
25	1926	72166
26	1996	71948
27	2067	71759
28	2136	71530
29	2205	71315
30	2274	71094
31	2344	70932
32	2412	70700
33	2482	70521
34	2549	70295
35	2620	70171
36	2692	70087
37	2776	70284
38	2849	70211
39	2917	70019
40	2986	69846
41	3056	69725
42	3126	69583
43	3196	69451
44	3266	69324
45	3340	69269
46	3412	69194
47	3486	69140
48	3561	69116
49	3631	68993
50	3699	68846
51	3772	68777
52	3841	68639
53	3912	68539
54	3981	68413
55	4053	68331
56	4124	68234
57	4196	68149
58	4266	68051
59	4338	67975
60	4409	67877
61	4479	67777
62	4548	67654
63	4624	67627
64	4692	67504
65	4766	67446
66	4834	67321
67	4907	67257
68	4976	67147
69	5046	67043
70	5120	66999
71	5188	66875
72	5257	66765
73	5325	66642
74	5395	66540
75	5465	66447
76	5534	66340
77	5603	66238
78	5674	66158
79	5745	66073
80	5816	65994
81	5888	65918
82	5957	65821
83	6027	65729
84	6099	65664
85	6169	65572
86	6239	65476
87	6309	65387
88	6382	65330
89	6455	65272
90	6525	65179
91	6594	65081
92	6666	65019
93	6740	64963
94	6808	64864
95	6879	64781
96	6951	64710
97	7018	64603
98	7088	64508
99	7159	64431
100	7228	64342
101	7299	64268
102	7368	64172
103	7437	64076
104	7506	63983
105	7576	63899
106	7646	63813
107	7716	63731
108	7783	63624
109	7852	63533
110	7921	63444
111	7992	63369
112	8065	63308
113	8138	63252
114	8207	63164
115	8279	63092
116	8350	63020
117	8418	62927
118	8491	62862
119	8559	62773
120	8632	62708
121	8703	62634
122	8775	62567
123	8844	62483
124	8914	62399
125	8982	62305
126	9049	62205
127	9118	62119
128	9190	62051
129	9259	61965
130	9328	61881
131	9399	61806
132	9467	61713
133	9539	61651
134	9611	61586
135	9678	61489
136	9750	61420
137	9836	61441
138	9904	61353
139	9972	61262
140	10040	61170
141	10111	61096
142	10182	61022
143	10256	60970
144	10326	60889
145	10396	60809
146	10465	60726
147	10545	60709
148	10626	60690
149	10707	60674
150	10779	60606
151	10852	60548
152	10927	60495
153	11008	60477
154	11081	60410
155	11161	60385
156	11237	60339
157	11316	60306
158	11394	60267
159	11469	60215
160	11544	60161
161	11623	60128
162	11700	60079
163	11773	60017
164	11852	59981
165	11925	59913
166	12005	59883
167	12083	59844
168	12158	59787
169	12232	59722
170	12311	59684
171	12386	59627
172	12464	59583
173	12540	59533
174	12612	59457
175	12684	59387
176	12759	59329
177	12837	59284
178	12914	59232
179	12988	59170
180	13064	59116
181	13143	59074
182	13217	59008
183	13294	58956
184	13368	58891
185	13446	58847
186	13522	58791
187	13598	58732
188	13669	58655
189	13745	58597
190	13818	58531
191	13891	58459
192	13968	58405
193	14049	58368
194	14127	58320
195	14201	58254
196	14335	58435
197	14411	58374
198	14484	58303
199	14559	58237
200	14632	58165
201	14707	58102
202	14785	58047
203	14862	57992
204	14937	57930
205	15010	57854
206	15080	57773
207	15153	57699
208	15229	57637
209	15306	57582
210	15379	57509
211	15457	57454
212	15532	57391
213	15611	57337
214	15686	57272
215	15761	57206
216	15840	57156
217	15908	57065
218	15980	56988
219	16050	56904
220	16123	56832
221	16196	56760
222	16267	56682
223	16340	56608
224	16412	56533
225	16483	56451
226	16554	56372
227	16627	56298
228	16700	56227
229	16775	56161
230	16854	56110
231	16928	56038
232	17005	55979
233	17083	55922
234	17159	55858
235	17229	55777
236	17301	55701
237	17370	55615
238	17440	55533
239	17512	55455
240	17580	55368
241	17650	55286
242	17729	55231
243	17803	55161
244	17895	55147
245	17986	55128
246	18061	55063
247	18134	54987
248	18205	54909
249	18278	54836
250	18357	54778
251	18459	54791
252	18546	54759
253	18639	54745
254	18730	54721
255	18812	54674
256	18884	54594
257	18957	54522
258	19031	54449
259	19099	54359
260	19168	54274
261	19238	54190
262	19311	54117
263	19390	54059
264	19468	53997
265	19541	53923
266	19612	53843
